Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,mfpn,height,mouser part number,mouser price/stock,manufacturer_name,manufacturer_part_number
40,,HEADER_2x03_PARALLEL-MLAB_HEADER,J4,HEADER_2x03_PARALLEL,Straight_2x03,1,,,,,,,,
41,"2x05 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x05_PARALLEL,J10J12,HEADER_2x05_PARALLEL,Straight_2x05,2,,,,,,,,
42,"2x07 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x07_PARALLEL,J11,HEADER_2x07_PARALLEL,Straight_2x07,1,,,,,,,,
43,,SD_Card-Connector,J6,MCC-SD (kouka z modulu),MCC-SD,1,http://portal.fciconnect.com/Comergent//fci/drawing/10067847.pdf,,,,,,,
44,,SMA-MLAB_CONNECTORS,J23,MCX,MCX,1,,,,,,,,
45,,L-Device-ISM02A-rescue,L7,0R,L_0603_1608Metric,1,,5c70984512875079b91f8949,,,,,,
46,,L-Device-ISM02A-rescue,L9,2n4,L_0603_1608Metric,1,,5dad56ff128750448eca1975,LQW15AN2N5C00D,,,,,
47,,L-Device-ISM02A-rescue,L10,4n7,L_0603_1608Metric,1,,671226edd509c19f2ce8ed2d,LQW15AN4N7C00D,,,,,
48,,L-Device-ISM02A-rescue,L11,9n1,L_0603_1608Metric,1,,5dad5789128750448eca1995,LQW15AN9N1H00D,,,,,
49,,L-Device-ISM02A-rescue,L6,15nH,L_0603_1608Metric,1,,5dad566c128750448eca1959,LQW15AN15NH00D,,,,,
50,,L-Device-ISM02A-rescue,L8,47nH,L_0603_1608Metric,1,,5dad56ba128750448eca1968,LQW15AN47NJ00D,,,,,
51,,L_Small-Device-ISM02A-rescue,L5,15uH,L_0805_2012Metric,1,,5dad55e8128750448eca1941,MLZ2012M150W 0805,,,,,
52,,L-device,L1,10uH - LQH32CN100K23L,SMD-1210,1,,5c70984412875079b91f87ff,,,,,,
53,Inductor,L,L3L4,1uH - DFE252012P-1R0M=P2,L_1008_2520Metric,2,~,,,,,,,
54,Inductor,L,L2,XAL-6030-182 1.8 uH,XAL6030181MEC,1,~,,,,,,,
